Metric,Pearson Correlation,Pearson P-value,Spearman Correlation,Spearman P-value,Samples,Normalized,Significant (p<0.05)
Medium Confidence,0.3222,0.0136,0.3263,0.0124,58,Yes,Yes
Low Severity,0.2424,0.0668,0.3824,0.0031,58,Yes,No
Medium Severity,-0.2152,0.1047,-0.2325,0.0791,58,Yes,No
Total Issues,0.2145,0.1058,0.2852,0.03,58,Yes,No
Codes With Issues,0.2052,0.1223,0.2419,0.0674,58,Yes,No
Issue Rate (%),0.1935,0.1455,0.2311,0.0809,58,Yes,No
High Confidence,0.181,0.1739,0.2108,0.1122,58,Yes,No
Avg Issues Per Code,0.1724,0.1956,0.1444,0.2796,58,No,No
