LLM,Total Codes,Correctness Rate (%),Avg Issues Per Code,Total Issues,Severity: Blocker,Severity: Critical,Severity: Major,Severity: Minor,Severity: Info,Type: Bug,Type: Vulnerability,Type: Code Smell,Type: Security Hotspot,Attribute: Consistency,Attribute: Intentionality,Attribute: Adaptability,Attribute: Responsibility,SQ Security: Blocker,SQ Security: High,SQ Security: Medium,SQ Security: Low,SQ Security: Info,SQ Reliability: Blocker,SQ Reliability: High,SQ Reliability: Medium,SQ Reliability: Low,SQ Reliability: Info,SQ Maintainability: Blocker,SQ Maintainability: High,SQ Maintainability: Medium,SQ Maintainability: Low,SQ Maintainability: Info
Gemini-Flash-2.0-Thinking-01-21,1021,57.59,1.48,1515,2,509,109,895,0,181,0,1334,0,0,0,0,0,0,0,0,0,0,1,176,4,0,0,1,333,105,895,0
Gemini-Flash-2.0-Thinking-01-21 (easy),322,98.14,0.9,290,1,99,15,175,0,74,0,216,0,0,0,0,0,0,0,0,0,0,0,73,1,0,0,1,26,14,175,0
Gemini-Flash-2.0-Thinking-01-21 (medium),376,52.93,1.58,595,1,186,39,369,0,56,0,539,0,0,0,0,0,0,0,0,0,0,1,53,2,0,0,0,133,37,369,0
Gemini-Flash-2.0-Thinking-01-21 (hard),323,22.6,1.95,630,0,224,55,351,0,51,0,579,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,174,54,351,0
Gemini-Flash-2.0-Thinking-12-19,1029,57.92,1.48,1528,0,509,108,911,0,170,0,1358,0,0,0,0,0,0,0,0,0,0,0,156,14,2,0,0,353,94,909,0
Gemini-Flash-2.0-Thinking-12-19 (easy),321,97.82,0.84,271,0,89,9,173,0,62,0,209,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,27,9,173,0
Gemini-Flash-2.0-Thinking-12-19 (medium),377,55.7,1.57,593,0,181,41,371,0,47,0,546,0,0,0,0,0,0,0,0,0,0,0,40,7,1,0,0,141,34,370,0
Gemini-Flash-2.0-Thinking-12-19 (hard),331,21.75,2.01,664,0,239,58,367,0,61,0,603,0,0,0,0,0,0,0,0,0,0,0,54,7,1,0,0,185,51,366,0
Gemini-Pro-1.5-002,860,42.91,1.21,1037,0,374,68,595,0,145,0,892,0,0,0,0,0,0,0,0,0,0,0,143,2,0,0,0,231,66,595,0
Gemini-Pro-1.5-002 (easy),278,87.41,0.79,220,0,59,15,146,0,45,0,175,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,15,14,146,0
Gemini-Pro-1.5-002 (medium),327,30.89,1.34,437,0,125,27,285,0,41,0,396,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,84,27,285,0
Gemini-Pro-1.5-002 (hard),255,9.8,1.49,380,0,190,26,164,0,59,0,321,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,132,25,164,0
Grok-3-Mini (High),966,83.33,1.13,1095,0,144,71,880,0,19,0,1076,0,0,0,0,0,0,0,0,0,0,0,18,1,2,0,0,126,70,878,0
Grok-3-Mini (High) (easy),322,98.14,0.55,176,0,24,4,148,0,16,0,160,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,8,4,147,0
Grok-3-Mini (High) (medium),376,87.23,1.23,461,0,59,32,370,0,2,0,459,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,57,32,370,0
Grok-3-Mini (High) (hard),268,60.07,1.71,458,0,61,35,362,0,1,0,457,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,61,34,361,0
Kimi-k1.6-IOI,871,83.12,1.39,1210,0,282,256,672,0,49,0,1161,0,0,0,0,0,0,0,0,0,0,0,48,1,1,0,0,234,252,674,0
Kimi-k1.6-IOI (easy),279,98.92,0.62,173,0,34,11,128,0,29,0,144,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,5,11,128,0
Kimi-k1.6-IOI (medium),330,90,1.35,446,0,94,81,271,0,12,0,434,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,82,81,270,0
Kimi-k1.6-IOI (hard),262,57.63,2.26,591,0,154,164,273,0,8,0,583,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,147,160,276,0
Kimi-k1.6-IOI-high,880,86.02,1.45,1275,0,277,265,733,0,46,0,1229,0,0,0,0,0,0,0,0,0,0,0,44,2,1,0,0,233,260,735,0
Kimi-k1.6-IOI-high (easy),279,99.28,0.63,175,0,38,11,126,0,34,0,141,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,4,11,126,0
Kimi-k1.6-IOI-high (medium),331,93.96,1.38,457,0,89,82,286,0,6,0,451,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,83,82,285,0
Kimi-k1.6-IOI-high (hard),270,62.59,2.38,643,0,150,172,321,0,6,0,637,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,146,167,324,0
LLama3.3-70b-Ins,707,36.35,1.37,971,0,128,54,789,0,53,0,918,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,77,51,790,0
LLama3.3-70b-Ins (easy),238,83.61,0.96,229,0,20,6,203,0,15,0,214,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,6,5,203,0
LLama3.3-70b-Ins (medium),278,18.35,1.5,416,0,52,20,344,0,15,0,401,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,37,20,344,0
LLama3.3-70b-Ins (hard),191,3.66,1.71,326,0,56,28,242,0,23,0,303,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,34,26,243,0
Llama-3_1-Nemotron-Nano-8B-v1,880,64.43,1.09,956,3,227,156,570,0,52,0,904,0,0,0,0,0,0,0,0,0,0,2,47,3,3,0,1,180,148,572,0
Llama-3_1-Nemotron-Nano-8B-v1 (easy),279,94.27,0.61,170,1,38,7,124,0,35,0,135,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,1,5,5,124,0
Llama-3_1-Nemotron-Nano-8B-v1 (medium),331,65.86,0.94,312,0,71,45,196,0,12,0,300,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,59,44,195,0
Llama-3_1-Nemotron-Nano-8B-v1 (hard),270,31.85,1.76,474,2,118,104,250,0,5,0,469,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,116,99,253,0
Llama-3_1-Nemotron-Ultra-253B-v1,880,77.73,1.23,1082,0,271,162,649,0,81,0,1001,0,0,0,0,0,0,0,0,0,0,0,63,17,4,0,0,208,141,649,0
Llama-3_1-Nemotron-Ultra-253B-v1 (easy),279,98.57,0.62,174,0,43,5,126,0,37,0,137,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,6,5,126,0
Llama-3_1-Nemotron-Ultra-253B-v1 (medium),331,82.48,1.28,423,0,84,58,281,0,35,0,388,0,0,0,0,0,0,0,0,0,0,0,19,16,3,0,0,65,42,278,0
Llama-3_1-Nemotron-Ultra-253B-v1 (hard),270,50.37,1.8,485,0,144,99,242,0,9,0,476,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,137,94,245,0
MetaStone-L1-7B,862,55.57,1.48,1273,3,285,318,667,0,73,0,1200,0,0,0,0,0,0,0,0,0,0,3,54,16,5,0,0,231,302,662,0
MetaStone-L1-7B (easy),278,90.29,0.67,185,0,44,20,121,0,38,0,147,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,6,20,121,0
MetaStone-L1-7B (medium),324,54.01,1.48,479,1,103,106,269,0,20,0,459,0,0,0,0,0,0,0,0,0,0,1,14,5,5,0,0,89,101,264,0
MetaStone-L1-7B (hard),260,20.38,2.34,609,2,138,192,277,0,15,0,594,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,0,136,181,277,0
Mistral-Large,880,37.27,1.53,1343,0,107,264,972,0,6,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,107,258,970,0
Mistral-Large (easy),279,80.65,1.1,307,0,8,53,246,0,3,0,304,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,50,246,0
Mistral-Large (medium),331,27.19,1.63,538,0,39,93,406,0,3,0,535,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,39,90,406,0
Mistral-Large (hard),270,4.81,1.84,498,0,60,118,320,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,118,318,0
O1-2024-12-17 (High),877,83.47,2.05,1797,0,295,170,1332,0,13,0,1784,0,0,0,0,0,0,0,0,0,0,0,12,1,3,0,0,283,169,1329,0
O1-2024-12-17 (High) (easy),279,98.21,0.74,206,0,19,2,185,0,10,0,196,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,2,185,0
O1-2024-12-17 (High) (medium),331,89.73,1.8,596,0,103,40,453,0,2,0,594,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,101,40,450,0
O1-2024-12-17 (High) (hard),267,60.3,3.73,995,0,173,128,694,0,1,0,994,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,173,127,694,0
O1-2024-12-17 (Low),880,75.91,2,1764,0,275,172,1317,0,19,0,1745,0,0,0,0,0,0,0,0,0,0,0,13,6,2,0,0,262,158,1323,0
O1-2024-12-17 (Low) (easy),279,98.57,0.81,227,0,18,7,202,0,12,0,215,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,6,203,0
O1-2024-12-17 (Low) (medium),331,83.38,1.66,551,0,97,52,402,0,2,0,549,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,96,49,404,0
O1-2024-12-17 (Low) (hard),270,43.33,3.65,986,0,160,113,713,0,5,0,981,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,160,103,716,0
O1-2024-12-17 (Low)_prompt_old,712,74.72,1.84,1308,0,201,137,970,0,11,0,1297,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,192,132,973,0
O1-2024-12-17 (Low)_prompt_old (easy),238,97.9,0.76,180,0,15,4,161,0,8,0,172,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,4,161,0
O1-2024-12-17 (Low)_prompt_old (medium),279,78.85,1.66,462,0,69,55,338,0,2,0,460,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,68,54,338,0
O1-2024-12-17 (Low)_prompt_old (hard),195,40.51,3.42,666,0,117,78,471,0,1,0,665,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,74,474,0
O1-2024-12-17 (Med),878,78.47,2.13,1868,3,295,198,1372,0,18,0,1850,0,0,0,0,0,0,0,0,0,0,3,12,3,1,0,0,283,192,1374,0
O1-2024-12-17 (Med) (easy),279,98.92,0.74,207,0,20,5,182,0,11,0,196,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,5,182,0
O1-2024-12-17 (Med) (medium),331,84.59,1.87,618,0,104,44,470,0,4,0,614,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,103,40,471,0
O1-2024-12-17 (Med) (hard),268,49.63,3.89,1043,3,171,149,720,0,3,0,1040,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,171,147,721,0
O1-Mini-2024-09-12,874,68.88,1.78,1553,1,265,260,1027,0,21,0,1532,0,0,0,0,0,0,0,0,0,0,1,14,6,1,0,0,251,254,1026,0
O1-Mini-2024-09-12 (easy),279,94.98,0.77,215,0,22,27,166,0,14,0,201,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,9,26,166,0
O1-Mini-2024-09-12 (medium),330,73.64,1.81,596,0,98,99,399,0,2,0,594,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,97,98,399,0
O1-Mini-2024-09-12 (hard),265,35.47,2.8,742,1,145,134,462,0,5,0,737,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,145,130,461,0
O1-Preview-2024-09-12,880,55.57,2.21,1947,2,265,126,1554,0,42,0,1905,0,0,0,0,0,0,0,0,0,0,2,35,5,1,0,0,230,121,1553,0
O1-Preview-2024-09-12 (easy),279,94.27,0.73,203,0,37,11,155,0,32,0,171,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,5,11,155,0
O1-Preview-2024-09-12 (medium),331,56.8,2.11,698,0,89,35,574,0,1,0,697,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,88,35,573,0
O1-Preview-2024-09-12 (hard),270,14.07,3.87,1046,2,139,80,825,0,9,0,1037,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,137,75,825,0
O3 (High),991,90.21,1.35,1335,0,243,117,975,0,8,0,1327,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,238,114,974,0
O3 (High) (easy),321,99.38,0.7,226,0,9,12,205,0,5,0,221,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,7,9,205,0
O3 (High) (medium),371,92.72,1.23,456,0,88,35,333,0,1,0,455,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,87,35,332,0
O3 (High) (hard),299,77.26,2.18,653,0,146,70,437,0,2,0,651,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,144,70,437,0
O3-Mini-2025-01-31 (High),981,83.59,1.62,1590,0,328,110,1152,0,6,0,1584,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,322,110,1148,0
O3-Mini-2025-01-31 (High) (easy),321,99.38,0.67,215,0,13,10,192,0,5,0,210,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,10,192,0
O3-Mini-2025-01-31 (High) (medium),374,89.57,1.51,564,0,121,36,407,0,1,0,563,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,120,36,403,0
O3-Mini-2025-01-31 (High) (hard),286,58.04,2.84,811,0,194,64,553,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,64,553,0
O3-Mini-2025-01-31 (Low),940,79.26,1.48,1392,0,267,167,958,0,17,0,1375,0,0,0,0,0,0,0,0,0,0,0,10,7,1,0,0,257,156,961,0
O3-Mini-2025-01-31 (Low) (easy),321,98.13,0.9,288,0,20,52,216,0,8,0,280,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,52,216,0
O3-Mini-2025-01-31 (Low) (medium),368,80.71,1.55,569,0,112,50,407,0,3,0,566,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,110,49,406,0
O3-Mini-2025-01-31 (Low) (hard),251,52.99,2.13,535,0,135,65,335,0,6,0,529,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,135,55,339,0
O3-Mini-2025-01-31 (Med),959,82.9,1.41,1355,0,300,112,942,1,9,0,1346,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,292,111,941,1
O3-Mini-2025-01-31 (Med) (easy),322,98.76,0.72,233,0,16,20,197,0,7,0,226,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,20,197,0
O3-Mini-2025-01-31 (Med) (medium),373,87.4,1.49,554,0,125,39,390,0,2,0,552,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,124,38,390,0
O3-Mini-2025-01-31 (Med) (hard),264,57.2,2.15,568,0,159,53,355,1,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,159,53,354,1
O4-Mini (High),1047,87.97,1.94,2026,0,381,327,1318,0,19,0,2007,0,0,0,0,0,0,0,0,0,0,0,17,2,1,0,0,364,325,1317,0
O4-Mini (High) (easy),321,98.75,0.77,247,0,22,37,188,0,13,0,234,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,9,37,188,0
O4-Mini (High) (medium),383,92.69,1.6,613,0,118,91,404,0,5,0,608,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,114,90,403,0
O4-Mini (High) (hard),343,72.59,3.4,1166,0,241,199,726,0,1,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,241,198,726,0
O4-Mini (Low),1026,79.63,1.64,1683,1,351,315,1016,0,17,0,1666,0,0,0,0,0,0,0,0,0,0,1,12,4,1,0,0,339,311,1015,0
O4-Mini (Low) (easy),322,98.14,0.77,248,0,19,31,198,0,8,0,240,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,31,198,0
O4-Mini (Low) (medium),383,86.16,1.64,630,0,127,106,397,0,4,0,626,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,123,106,397,0
O4-Mini (Low) (hard),321,53.27,2.51,805,1,205,178,421,0,5,0,800,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,205,174,420,0
O4-Mini (Medium),1038,85.84,1.76,1830,0,372,275,1183,0,16,0,1814,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,361,270,1183,0
O4-Mini (Medium) (easy),322,98.76,0.77,249,0,18,31,200,0,9,0,240,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,31,200,0
O4-Mini (Medium) (medium),381,92.65,1.66,631,0,127,86,418,0,3,0,628,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,125,85,418,0
O4-Mini (Medium) (hard),335,65.67,2.84,950,0,227,158,565,0,4,0,946,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,227,154,565,0
OpenCodeReasoning-Nemotron-1.1-32B,1034,79.11,1.52,1571,1,482,127,961,0,103,0,1468,0,0,0,0,0,0,0,0,0,0,0,98,5,6,0,1,384,122,955,0
OpenCodeReasoning-Nemotron-1.1-32B (easy),319,99.06,0.96,306,1,96,21,188,0,74,0,232,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,1,22,21,188,0
OpenCodeReasoning-Nemotron-1.1-32B (medium),376,84.31,1.5,565,0,135,44,386,0,16,0,549,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,120,43,385,0
OpenCodeReasoning-Nemotron-1.1-32B (hard),339,54.57,2.06,700,0,251,62,387,0,13,0,687,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,242,58,382,0
OpenReasoning-Nemotron-32B,1046,81.55,1.55,1617,3,500,103,1011,0,88,0,1529,0,0,0,0,0,0,0,0,0,0,2,83,3,3,0,1,417,100,1008,0
OpenReasoning-Nemotron-32B (easy),321,98.75,0.88,282,1,90,12,179,0,71,0,211,0,0,0,0,0,0,0,0,0,0,0,71,0,1,0,1,19,12,178,0
OpenReasoning-Nemotron-32B (medium),379,87.6,1.5,567,0,154,39,374,0,6,0,561,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,148,39,372,0
OpenReasoning-Nemotron-32B (hard),346,58.96,2.22,768,2,256,52,458,0,11,0,757,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,250,49,458,0
QwQ-32B-Preview,813,64.82,1.79,1455,1,246,253,955,0,67,0,1388,0,0,0,0,0,0,0,0,0,0,1,62,3,2,0,0,184,248,955,0
QwQ-32B-Preview (easy),276,95.65,1.02,282,0,67,28,187,0,54,0,228,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,13,28,187,0
QwQ-32B-Preview (medium),319,67.71,1.82,580,0,82,106,392,0,8,0,572,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,76,104,391,0
QwQ-32B-Preview (hard),218,21.56,2.72,593,1,97,119,376,0,5,0,588,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,95,116,377,0
QwQ-32B_temp,964,80.39,1.41,1364,0,320,141,903,0,53,0,1311,0,0,0,0,0,0,0,0,0,0,0,48,5,1,0,0,272,136,902,0
QwQ-32B_temp (easy),321,99.38,0.68,218,0,48,15,155,0,37,0,181,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11,15,155,0
QwQ-32B_temp (medium),368,86.96,1.49,549,0,113,35,401,0,10,0,539,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,103,35,400,0
QwQ-32B_temp (hard),275,49.45,2.17,597,0,159,91,347,0,6,0,591,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,158,86,347,0
QwQ-Max-Preview,875,80.46,1.5,1312,1,296,251,764,0,49,0,1263,0,0,0,0,0,0,0,0,0,0,1,41,7,4,0,0,255,244,760,0
QwQ-Max-Preview (easy),279,98.57,0.62,173,0,33,10,130,0,30,0,143,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,3,10,128,0
QwQ-Max-Preview (medium),330,88.48,1.34,441,0,93,72,276,0,9,0,432,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,85,71,276,0
QwQ-Max-Preview (hard),266,51.5,2.62,698,1,170,169,358,0,10,0,688,0,0,0,0,0,0,0,0,0,0,1,3,6,2,0,0,167,163,356,0
Qwen2-Ins-72B,709,30.47,1.03,729,5,111,60,553,0,63,0,666,0,0,0,0,0,0,0,0,0,0,5,55,3,1,0,0,56,57,552,0
Qwen2-Ins-72B (easy),237,63.71,0.62,147,0,26,6,115,0,24,0,123,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,6,115,0
Qwen2-Ins-72B (medium),279,21.51,1.03,287,0,38,32,217,0,22,0,265,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,17,31,217,0
Qwen2-Ins-72B (hard),193,2.59,1.53,295,5,47,22,221,0,17,0,278,0,0,0,0,0,0,0,0,0,0,5,10,2,1,0,0,37,20,220,0
Qwen2.5-Coder-Ins-32B,658,51.52,1.48,977,0,89,220,668,0,4,0,973,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,88,217,668,0
Qwen2.5-Coder-Ins-32B (easy),234,87.61,0.86,201,0,5,41,155,0,3,0,198,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,39,155,0
Qwen2.5-Coder-Ins-32B (medium),263,46.77,1.53,402,0,33,96,273,0,1,0,401,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,95,273,0
Qwen2.5-Coder-Ins-32B (hard),161,6.83,2.32,374,0,51,83,240,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,83,240,0
Qwen2.5-Coder-Ins-7B,709,34.13,0.86,609,3,44,50,512,0,5,0,604,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1,44,47,511,0
Qwen2.5-Coder-Ins-7B (easy),238,68.07,0.53,127,1,2,7,117,0,3,0,124,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,5,117,0
Qwen2.5-Coder-Ins-7B (medium),279,26.52,1,278,1,21,20,236,0,1,0,277,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,21,19,235,0
Qwen2.5-Coder-Ins-7B (hard),192,3.12,1.06,204,1,21,23,159,0,1,0,203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,23,159,0
Qwen2.5-Ins-32B,713,47.55,1.54,1095,2,120,177,796,0,31,0,1064,0,0,0,0,0,0,0,0,0,0,2,27,2,1,0,0,93,174,796,0
Qwen2.5-Ins-32B (easy),238,86.13,0.99,236,0,12,32,192,0,7,0,229,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,32,192,0
Qwen2.5-Ins-32B (medium),279,41.58,1.7,473,0,47,73,353,0,13,0,460,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,35,72,353,0
Qwen2.5-Ins-32B (hard),196,9.18,1.97,386,2,61,72,251,0,11,0,375,0,0,0,0,0,0,0,0,0,0,2,8,1,1,0,0,53,70,251,0
Qwen2.5-Ins-72B,713,49.51,1.55,1107,0,113,152,842,0,33,0,1074,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,0,83,148,840,0
Qwen2.5-Ins-72B (easy),238,88.66,0.79,188,0,14,21,153,0,14,0,174,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,20,153,0
Qwen2.5-Ins-72B (medium),279,45.88,1.69,472,0,43,59,370,0,12,0,460,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,31,59,368,0
Qwen2.5-Ins-72B (hard),196,7.14,2.28,447,0,56,72,319,0,7,0,440,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,51,69,319,0
Qwen2.5-Ins-7B,712,30.06,1.01,720,0,118,88,514,0,70,0,650,0,0,0,0,0,0,0,0,0,0,0,58,12,0,0,0,60,75,515,0
Qwen2.5-Ins-7B (easy),238,58.4,0.61,146,0,19,13,114,0,16,0,130,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,4,12,114,0
Qwen2.5-Ins-7B (medium),278,25.18,1.13,315,0,47,37,231,0,36,0,279,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,0,21,26,232,0
Qwen2.5-Ins-7B (hard),196,2.55,1.32,259,0,52,38,169,0,18,0,241,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,35,37,169,0
Qwen3-235B-A22B,1054,80.46,1.69,1779,2,391,375,1010,1,41,0,1738,0,0,0,0,0,0,0,0,0,0,2,36,3,0,0,0,355,371,1011,1
Qwen3-235B-A22B (easy),322,99.07,0.73,236,0,44,29,163,0,34,0,202,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,10,29,163,0
Qwen3-235B-A22B (medium),383,88.77,1.6,611,0,129,111,371,0,2,0,609,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,127,111,371,0
Qwen3-235B-A22B (hard),349,54.15,2.67,932,2,218,235,476,1,5,0,927,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,218,231,477,1
XBai-o4-medium,1054,80.17,1.56,1645,0,370,364,911,0,70,0,1575,0,0,0,0,0,0,0,0,0,0,0,61,9,3,0,0,309,354,909,0
XBai-o4-medium (easy),322,98.76,0.73,235,0,61,14,160,0,53,0,182,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,8,14,160,0
XBai-o4-medium (medium),383,90.08,1.4,537,0,110,101,326,0,8,0,529,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,102,101,325,0
XBai-o4-medium (hard),349,52.15,2.5,873,0,199,249,425,0,9,0,864,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,199,239,424,0
