LLM,Total Codes,Correctness Rate (%),Codes With Issues,Issue Rate (%),Total Issues,Avg Issues Per Code,High Severity,Medium Severity,Low Severity,Undefined Severity,High Confidence,Medium Confidence,Low Confidence
DeepSeek-V3,961,54.63,1,0.1,2,0,0,1,1,0,2,0,0
DeepSeek-V3 (easy),309,86.41,0,0,0,0,0,0,0,0,0,0,0
DeepSeek-V3 (medium),353,57.22,0,0,0,0,0,0,0,0,0,0,0
DeepSeek-V3 (hard),299,18.73,1,0.33,2,0.01,0,1,1,0,2,0,0
DeepSeek-V3 copy,856,56.89,1,0.12,2,0,0,1,1,0,2,0,0
DeepSeek-V3 copy (easy),279,88.89,0,0,0,0,0,0,0,0,0,0,0
DeepSeek-V3 copy (medium),322,59.01,0,0,0,0,0,0,0,0,0,0,0
DeepSeek-V3 copy (hard),255,19.22,1,0.39,2,0.01,0,1,1,0,2,0,0
EXAONE-4.0-32B,1052,81.37,4,0.38,7,0.01,0,0,7,0,5,2,0
EXAONE-4.0-32B (easy),322,98.76,0,0,0,0,0,0,0,0,0,0,0
EXAONE-4.0-32B (medium),382,88.48,2,0.52,3,0.01,0,0,3,0,1,2,0
EXAONE-4.0-32B (hard),348,57.47,2,0.57,4,0.01,0,0,4,0,4,0,0
GPT-4-0613,713,34.08,0,0,0,0,0,0,0,0,0,0,0
GPT-4-0613 (easy),238,74.37,0,0,0,0,0,0,0,0,0,0,0
GPT-4-0613 (medium),279,22.58,0,0,0,0,0,0,0,0,0,0,0
GPT-4-0613 (hard),196,1.53,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-1106,713,37.45,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-1106 (easy),238,78.57,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-1106 (medium),279,26.16,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-1106 (hard),196,3.57,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-2024-04-09,1055,37.35,1,0.09,2,0,0,0,2,0,2,0,0
GPT-4-Turbo-2024-04-09 (easy),322,81.68,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-2024-04-09 (medium),383,30.81,0,0,0,0,0,0,0,0,0,0,0
GPT-4-Turbo-2024-04-09 (hard),350,3.71,1,0.29,2,0.01,0,0,2,0,2,0,0
GPT-4O-2024-05-13,880,44.09,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-05-13 (easy),279,88.53,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-05-13 (medium),331,38.07,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-05-13 (hard),270,5.56,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-08-06,1047,38.4,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-08-06 (easy),322,84.47,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-08-06 (medium),383,30.29,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-2024-08-06 (hard),342,4.09,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-mini-2024-07-18,1054,35.2,1,0.09,2,0,0,1,1,0,2,0,0
GPT-4O-mini-2024-07-18 (easy),322,81.99,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-mini-2024-07-18 (medium),382,23.56,0,0,0,0,0,0,0,0,0,0,0
GPT-4O-mini-2024-07-18 (hard),350,4.86,1,0.29,2,0.01,0,1,1,0,2,0,0
Gemini-2.5-Flash-04-17,1033,76.67,1,0.1,1,0,0,0,1,0,1,0,0
Gemini-2.5-Flash-04-17 (easy),321,98.75,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Flash-04-17 (medium),377,82.49,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Flash-04-17 (hard),335,48.96,1,0.3,1,0,0,0,1,0,1,0,0
Gemini-2.5-Flash-05-20,1053,76.35,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Flash-05-20 (easy),322,99.07,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Flash-05-20 (medium),383,82.51,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Flash-05-20 (hard),348,48.56,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-03-25,1042,82.53,33,3.17,34,0.03,0,0,34,0,34,0,0
Gemini-2.5-Pro-03-25 (easy),320,99.06,2,0.62,2,0.01,0,0,2,0,2,0,0
Gemini-2.5-Pro-03-25 (medium),379,90.5,4,1.06,4,0.01,0,0,4,0,4,0,0
Gemini-2.5-Pro-03-25 (hard),343,58.31,27,7.87,28,0.08,0,0,28,0,28,0,0
Gemini-2.5-Pro-05-06,1054,82.83,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-05-06 (easy),322,98.76,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-05-06 (medium),383,90.6,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-05-06 (hard),349,59.6,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-06-05,1055,84.27,1,0.09,1,0,0,0,1,0,1,0,0
Gemini-2.5-Pro-06-05 (easy),322,99.07,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-06-05 (medium),383,92.17,0,0,0,0,0,0,0,0,0,0,0
Gemini-2.5-Pro-06-05 (hard),350,62,1,0.29,1,0,0,0,1,0,1,0,0
Gemini-Exp-1206,795,55.09,0,0,0,0,0,0,0,0,0,0,0
Gemini-Exp-1206 (easy),276,92.03,0,0,0,0,0,0,0,0,0,0,0
Gemini-Exp-1206 (medium),302,48.68,0,0,0,0,0,0,0,0,0,0,0
Gemini-Exp-1206 (hard),217,17.05,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-1.5-002,848,37.5,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-1.5-002 (easy),279,82.8,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-1.5-002 (medium),320,23.44,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-1.5-002 (hard),249,4.82,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Exp,1005,43.88,1,0.1,1,0,0,1,0,0,1,0,0
Gemini-Flash-2.0-Exp (easy),321,91.28,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Exp (medium),361,33.52,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Exp (hard),323,8.36,1,0.31,1,0,0,1,0,0,1,0,0
Gemini-Flash-2.0-Exp (N=10),777,47.23,1,0.13,1,0,0,1,0,0,1,0,0
Gemini-Flash-2.0-Exp (N=10) (easy),273,91.21,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Exp (N=10) (medium),286,33.57,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Exp (N=10) (hard),218,10.09,1,0.46,1,0,0,1,0,0,1,0,0
Gemini-Flash-2.0-Thinking,848,52,1,0.12,1,0,0,1,0,0,1,0,0
Gemini-Flash-2.0-Thinking (easy),279,94.98,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Thinking (medium),325,44,0,0,0,0,0,0,0,0,0,0,0
